transaction_id,transaction_date,transaction_time,transaction_qty,store_id,store_location,product_id,unit_price,product_category,product_type,product_detail
8424,2023-05-03,18:59:47,1,3,Lower Manhattan,20,3.25,Packaged Chocolate,Drinking Chocolate,Peppermint Bark
653,2023-05-15,07:01:11,1,3,Lower Manhattan,18,14.75,Coffee beans,House blend Beans,Espresso Roast whole bean
4512,2023-02-14,13:28:06,1,3,Lower Manhattan,21,8.95,Branded,Housewares,Ceramic Mug
1650,2023-04-06,09:36:47,1,5,Hell's Kitchen,19,14.75,Coffee beans,Organic Beans,Ethiopia Rg
7790,2023-06-22,13:28:53,1,5,Hell's Kitchen,21,8.7,Branded,Housewares,Ceramic Mug
3921,2023-05-23,20:19:37,1,5,Hell's Kitchen,16,8.95,Loose Tea,Herbal tea,Peppermint
2996,2023-02-05,07:59:17,1,5,Hell's Kitchen,18,15.0,Coffee beans,House blend Beans,Espresso Roast whole bean
3674,2023-01-26,10:24:00,1,5,Hell's Kitchen,21,8.7,Branded,Housewares,Ceramic Mug
2175,2023-04-19,11:57:30,1,3,Lower Manhattan,10,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg
7298,2023-05-16,18:19:03,2,8,Astoria,20,3.25,Packaged Chocolate,Drinking Chocolate,Peppermint Bark
2550,2023-02-28,12:23:03,1,8,Astoria,16,8.95,Loose Tea,Herbal tea,Peppermint
2563,2023-04-03,13:11:48,2,5,Hell's Kitchen,11,3.5,Bakery,Pastry,Croissant
3481,2023-01-06,19:37:48,2,3,Lower Manhattan,12,3.25,Bakery,Scone,Ginger Scone
6173,2023-05-22,07:27:20,2,3,Lower Manhattan,8,3.0,Tea,Brewed Black tea,Earl Grey Rg
4876,2023-04-17,08:38:08,1,5,Hell's Kitchen,14,0.8,Flavours,Regular syrup,Vanilla syrup
8640,2023-04-23,11:33:19,3,8,Astoria,3,4.25,Coffee,Barista Espresso,Latte Rg
66,2023-06-26,14:35:17,1,3,Lower Manhattan,5,3.5,Coffee,Premium brewed coffee,Columbian Medium Roast Rg
9200,2023-03-08,09:47:15,3,3,Lower Manhattan,3,3.75,Coffee,Barista Espresso,Latte Rg
3637,2023-04-16,18:25:13,1,5,Hell's Kitchen,17,8.95,Loose Tea,Black tea,English Breakfast
4412,2023-05-29,15:19:48,2,5,Hell's Kitchen,8,2.5,Tea,Brewed Black tea,Earl Grey Rg
4896,2023-05-13,09:10:18,2,8,Astoria,18,14.5,Coffee beans,House blend Beans,Espresso Roast whole bean
6575,2023-04-20,16:08:14,3,3,Lower Manhattan,9,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
3530,2023-02-15,08:08:53,1,3,Lower Manhattan,4,4.5,Coffee,Barista Espresso,Cappuccino Lg
9003,2023-03-06,06:57:22,2,8,Astoria,13,2.75,Bakery,Biscotti,Chocolate Biscotti
1412,2023-02-26,17:42:42,2,5,Hell's Kitchen,10,4.25,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg
5913,2023-02-01,17:02:49,1,8,Astoria,2,3.25,Coffee,Gourmet brewed coffee,Brazilian Lg
3432,2023-03-01,14:06:09,1,3,Lower Manhattan,20,3.25,Packaged Chocolate,Drinking Chocolate,Peppermint Bark
4504,2023-06-19,14:25:13,1,3,Lower Manhattan,21,8.7,Branded,Housewares,Ceramic Mug
53,2023-05-17,13:00:57,1,8,Astoria,15,0.8,Flavours,Sugar free syrup,Sugar Free Vanilla syrup
8112,2023-05-31,17:28:23,1,5,Hell's Kitchen,20,2.75,Packaged Chocolate,Drinking Chocolate,Peppermint Bark
7043,2023-04-21,07:27:11,1,5,Hell's Kitchen,10,4.25,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg
9702,2023-02-03,10:17:00,2,3,Lower Manhattan,21,9.2,Branded,Housewares,Ceramic Mug
836,2023-06-15,16:43:21,1,3,Lower Manhattan,6,2.75,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
3699,2023-03-18,18:12:37,1,3,Lower Manhattan,20,3.25,Packaged Chocolate,Drinking Chocolate,Peppermint Bark
7942,2023-02-05,20:20:29,1,3,Lower Manhattan,7,2.5,Tea,Brewed herbal tea,Chamomile Rg
9691,2023-05-15,09:26:41,2,3,Lower Manhattan,14,0.8,Flavours,Regular syrup,Vanilla syrup
6671,2023-04-05,16:44:28,2,3,Lower Manhattan,21,8.7,Branded,Housewares,Ceramic Mug
6989,2023-05-19,10:59:50,3,5,Hell's Kitchen,11,3.5,Bakery,Pastry,Croissant
6026,2023-04-29,06:56:40,1,8,Astoria,15,1.05,Flavours,Sugar free syrup,Sugar Free Vanilla syrup
3895,2023-03-10,10:15:53,1,8,Astoria,11,3.5,Bakery,Pastry,Croissant
6715,2023-04-01,12:06:54,1,5,Hell's Kitchen,6,3.0,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
5225,2023-06-17,12:27:18,1,3,Lower Manhattan,6,3.0,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
1011,2023-04-17,07:01:19,3,3,Lower Manhattan,4,4.5,Coffee,Barista Espresso,Cappuccino Lg
7698,2023-05-13,10:32:26,1,8,Astoria,11,3.5,Bakery,Pastry,Croissant
2200,2023-02-11,09:24:25,1,5,Hell's Kitchen,4,4.5,Coffee,Barista Espresso,
7465,2023-04-17,18:28:11,2,5,Hell's Kitchen,9,4.25,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
1720,2023-02-12,16:03:04,1,3,Lower Manhattan,13,2.75,Bakery,Biscotti,Chocolate Biscotti
3650,2023-01-15,09:47:33,3,5,Hell's Kitchen,19,14.75,Coffee beans,Organic Beans,Ethiopia Rg
3661,2023-06-06,09:46:42,1,3,Lower Manhattan,11,3.75,Bakery,Pastry,Croissant
6498,2023-05-20,14:39:41,1,8,Astoria,2,3.25,Coffee,Gourmet brewed coffee,Brazilian Lg
8506,2023-06-24,18:06:17,1,3,Lower Manhattan,6,3.0,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
1451,2023-04-21,10:57:28,1,8,Astoria,12,3.75,Bakery,Scone,Ginger Scone
2739,2023-04-06,06:14:37,2,3,Lower Manhattan,18,15.0,Coffee beans,House blend Beans,Espresso Roast whole bean
4541,2023-05-31,07:34:17,1,5,Hell's Kitchen,16,8.95,Loose Tea,Herbal tea,Peppermint
3817,2023-03-06,17:29:17,1,3,Lower Manhattan,8,2.75,Tea,Brewed Black tea,Earl Grey Rg
3330,2023-01-30,12:51:14,3,3,Lower Manhattan,7,3.0,Tea,Brewed herbal tea,Chamomile Rg
346,2023-02-11,10:05:38,2,5,Hell's Kitchen,18,14.75,Coffee beans,House blend Beans,Espresso Roast whole bean
6450,2023-06-16,09:27:24,3,3,Lower Manhattan,12,3.5,Bakery,Scone,Ginger Scone
4440,2023-05-13,12:42:01,1,3,Lower Manhattan,4,4.25,Coffee,Barista Espresso,Cappuccino Lg
5332,2023-06-10,08:57:56,1,5,Hell's Kitchen,11,3.75,Bakery,Pastry,Croissant
8631,2023-04-08,08:17:58,1,3,Lower Manhattan,4,4.25,Coffee,Barista Espresso,Cappuccino Lg
508,2023-06-07,13:21:02,2,3,Lower Manhattan,10,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg
5035,2023-05-09,07:51:27,2,5,Hell's Kitchen,20,2.75,Packaged Chocolate,Drinking Chocolate,Peppermint Bark
6231,2023-03-04,08:20:25,1,5,Hell's Kitchen,19,15.0,Coffee beans,Organic Beans,Ethiopia Rg
4362,2023-06-05,08:08:55,1,5,Hell's Kitchen,11,3.75,Bakery,Pastry,Croissant
681,2023-01-22,11:15:35,1,5,Hell's Kitchen,1,2.75,Coffee,Gourmet brewed coffee,Ethiopia Rg
4039,2023-01-01,10:22:58,1,8,Astoria,12,3.5,Bakery,Scone,Ginger Scone
6943,2023-02-18,14:20:50,1,5,Hell's Kitchen,9,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
7220,2023-02-14,10:48:57,1,8,Astoria,5,3.5,Coffee,Premium brewed coffee,Columbian Medium Roast Rg
6946,2023-06-03,09:54:57,1,5,Hell's Kitchen,16,8.95,Loose Tea,Herbal tea,Peppermint
6135,2023-01-23,13:37:05,1,3,Lower Manhattan,8,2.5,Tea,Brewed Black tea,Earl Grey Rg
4345,2023-01-08,14:46:22,1,5,Hell's Kitchen,3,3.75,Coffee,Barista Espresso,Latte Rg
8796,2023-02-28,09:01:44,1,3,Lower Manhattan,12,3.25,Bakery,Scone,Ginger Scone
6584,2023-05-02,08:16:30,1,8,Astoria,14,0.8,Flavours,Regular syrup,Vanilla syrup
3866,2023-01-12,14:26:22,1,3,Lower Manhattan,13,2.25,Bakery,Biscotti,Chocolate Biscotti
8808,2023-06-16,11:06:18,1,3,Lower Manhattan,1,3.0,Coffee,Gourmet brewed coffee,Ethiopia Rg
7129,2023-05-31,13:57:50,1,3,Lower Manhattan,16,8.7,Loose Tea,Herbal tea,Peppermint
2457,2023-01-21,08:27:58,2,8,Astoria,8,2.75,Tea,Brewed Black tea,Earl Grey Rg
9403,2023-05-26,12:49:24,1,5,Hell's Kitchen,8,2.75,Tea,Brewed Black tea,Earl Grey Rg
5586,2023-06-13,10:23:45,1,3,Lower Manhattan,17,8.95,Loose Tea,Black tea,English Breakfast
9043,2023-01-23,09:14:24,1,8,Astoria,12,3.25,Bakery,Scone,Ginger Scone
921,2023-03-25,07:50:01,1,8,Astoria,12,3.25,Bakery,Scone,Ginger Scone
1210,2023-02-15,20:15:06,3,8,Astoria,20,3.0,Packaged Chocolate,Drinking Chocolate,Peppermint Bark
8474,2023-02-16,08:51:28,1,5,Hell's Kitchen,10,4.0,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg
5937,2023-03-03,17:20:07,1,5,Hell's Kitchen,2,3.25,Coffee,Gourmet brewed coffee,Brazilian Lg
3440,2023-01-07,07:59:40,1,3,Lower Manhattan,10,4.0,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg
1635,2023-02-25,06:15:37,1,8,Astoria,2,3.5,Coffee,Gourmet brewed coffee,Brazilian Lg
1499,2023-04-28,20:31:50,1,5,Hell's Kitchen,18,14.5,Coffee beans,House blend Beans,Espresso Roast whole bean
7409,2023-02-15,18:36:46,1,5,Hell's Kitchen,17,8.95,Loose Tea,Black tea,English Breakfast
6329,2023-02-23,07:36:04,1,3,Lower Manhattan,5,3.25,Coffee,Premium brewed coffee,Columbian Medium Roast Rg
6272,2023-05-10,13:44:53,1,5,Hell's Kitchen,12,3.5,Bakery,Scone,Ginger Scone
607,2023-01-01,15:10:33,2,3,Lower Manhattan,15,1.05,Flavours,Sugar free syrup,Sugar Free Vanilla syrup
4596,2023-02-12,09:12:05,1,8,Astoria,17,9.2,Loose Tea,Black tea,English Breakfast
8252,2023-03-19,19:48:35,1,8,Astoria,5,3.25,Coffee,Premium brewed coffee,Columbian Medium Roast Rg
5524,2023-04-12,10:31:53,1,8,Astoria,18,14.5,Coffee beans,House blend Beans,Espresso Roast whole bean
9243,2023-03-30,15:14:42,1,8,Astoria,8,3.0,Tea,Brewed Black tea,Earl Grey Rg
6737,2023-05-19,08:41:20,1,3,Lower Manhattan,6,3.0,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
5419,2023-04-18,10:41:59,1,8,Astoria,8,2.75,Tea,Brewed Black tea,Earl Grey Rg
6743,2023-04-13,07:29:26,1,3,Lower Manhattan,21,8.95,Branded,Housewares,Ceramic Mug
9574,2023-03-11,07:21:20,1,8,Astoria,18,14.75,Coffee beans,House blend Beans,Espresso Roast whole bean
219,2023-04-16,10:17:53,1,5,Hell's Kitchen,12,3.25,Bakery,Scone,Ginger Scone
6009,2023-04-08,13:40:04,3,5,Hell's Kitchen,2,3.5,Coffee,Gourmet brewed coffee,Brazilian Lg
2962,2023-06-11,13:46:09,2,5,Hell's Kitchen,13,2.5,Bakery,Biscotti,Chocolate Biscotti
8656,2023-02-16,14:23:40,1,8,Astoria,13,2.5,Bakery,Biscotti,Chocolate Biscotti
3891,2023-02-18,10:03:12,1,3,Lower Manhattan,18,15.0,Coffee beans,House blend Beans,Espresso Roast whole bean
6124,2023-05-07,10:23:04,1,5,Hell's Kitchen,3,4.0,Coffee,Barista Espresso,Latte Rg
3899,2023-03-04,13:21:46,3,5,Hell's Kitchen,9,4.25,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
7240,2023-06-04,07:49:16,1,3,Lower Manhattan,4,4.5,Coffee,Barista Espresso,Cappuccino Lg
3388,2023-03-07,10:52:52,1,8,Astoria,8,2.75,Tea,Brewed Black tea,Earl Grey Rg
9653,2023-02-01,10:39:17,1,8,Astoria,1,2.75,Coffee,Gourmet brewed coffee,Ethiopia Rg
3224,2023-06-05,09:40:04,1,3,Lower Manhattan,8,2.75,Tea,Brewed Black tea,Earl Grey Rg
6321,2023-01-18,07:36:18,1,5,Hell's Kitchen,18,15.0,Coffee beans,House blend Beans,Espresso Roast whole bean
3606,2023-03-09,10:21:00,1,8,Astoria,3,3.75,Coffee,Barista Espresso,Latte Rg
9176,2023-05-15,08:07:03,1,3,Lower Manhattan,16,9.2,Loose Tea,Herbal tea,Peppermint
1861,2023-05-24,12:47:54,1,3,Lower Manhattan,13,2.25,Bakery,Biscotti,Chocolate Biscotti
3067,2023-02-02,10:13:14,1,3,Lower Manhattan,1,3.0,Coffee,Gourmet brewed coffee,Ethiopia Rg
5475,2023-04-21,07:50:09,1,5,Hell's Kitchen,17,8.7,Loose Tea,Black tea,English Breakfast
8554,2023-04-29,20:10:38,1,3,Lower Manhattan,11,3.5,Bakery,Pastry,Croissant
4965,2023-03-20,12:52:12,1,8,Astoria,19,14.5,Coffee beans,Organic Beans,Ethiopia Rg
1798,2023-06-28,09:47:43,1,3,Lower Manhattan,17,8.95,Loose Tea,Black tea,English Breakfast
6241,2023-04-20,19:05:39,1,3,Lower Manhattan,18,14.5,Coffee beans,House blend Beans,Espresso Roast whole bean
3874,2023-06-17,10:49:09,1,5,Hell's Kitchen,4,4.25,Coffee,Barista Espresso,Cappuccino Lg
2632,2023-02-06,18:35:23,1,5,Hell's Kitchen,5,3.0,Coffee,Premium brewed coffee,Columbian Medium Roast Rg
4990,2023-06-30,17:08:54,2,3,Lower Manhattan,9,4.0,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
8605,2023-01-21,10:28:02,1,5,Hell's Kitchen,9,4.0,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
2261,2023-01-23,09:23:28,2,5,Hell's Kitchen,8,2.75,Tea,Brewed Black tea,Earl Grey Rg
8744,2023-03-10,20:14:49,1,5,Hell's Kitchen,8,3.0,Tea,Brewed Black tea,Earl Grey Rg
5920,2023-06-12,07:21:15,1,3,Lower Manhattan,8,3.0,Tea,Brewed Black tea,Earl Grey Rg
7788,2023-01-24,17:04:37,3,5,Hell's Kitchen,9,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
8050,2023-03-27,17:03:00,1,5,Hell's Kitchen,7,2.5,Tea,Brewed herbal tea,Chamomile Rg
1842,2023-01-19,16:14:04,3,8,Astoria,18,14.5,Coffee beans,House blend Beans,Espresso Roast whole bean
3993,2023-01-09,09:51:50,1,3,Lower Manhattan,9,4.25,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
5648,2023-02-28,17:54:30,1,5,Hell's Kitchen,2,3.5,Coffee,Gourmet brewed coffee,Brazilian Lg
7955,2023-06-04,07:13:13,2,8,Astoria,9,4.25,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
5015,2023-01-28,14:48:31,1,3,Lower Manhattan,9,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
37,2023-05-08,12:11:58,3,3,Lower Manhattan,14,0.8,Flavours,Regular syrup,Vanilla syrup
3573,2023-04-27,10:28:59,1,8,Astoria,16,8.7,Loose Tea,Herbal tea,Peppermint
8434,2023-02-26,09:27:14,1,8,Astoria,2,3.25,Coffee,Gourmet brewed coffee,Brazilian Lg
4203,2023-05-30,08:03:49,1,5,Hell's Kitchen,5,3.25,Coffee,Premium brewed coffee,Columbian Medium Roast Rg
1024,2023-01-24,13:53:44,3,5,Hell's Kitchen,4,4.5,Coffee,Barista Espresso,Cappuccino Lg
5158,2023-05-10,09:01:48,3,8,Astoria,16,8.95,Loose Tea,Herbal tea,Peppermint
3778,2023-06-06,07:48:10,2,8,Astoria,10,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg
5968,2023-04-16,16:39:46,2,3,Lower Manhattan,13,,Bakery,Biscotti,Chocolate Biscotti
1430,2023-01-26,07:03:54,1,3,Lower Manhattan,7,2.75,Tea,Brewed herbal tea,Chamomile Rg
8200,2023-05-15,14:54:26,1,5,Hell's Kitchen,8,2.75,Tea,Brewed Black tea,Earl Grey Rg
3480,2023-03-01,09:16:44,3,5,Hell's Kitchen,8,3.0,Tea,Brewed Black tea,Earl Grey Rg
2387,2023-04-13,08:14:31,1,5,Hell's Kitchen,1,3.0,Coffee,Gourmet brewed coffee,Ethiopia Rg
1110,2023-03-03,06:32:01,1,8,Astoria,20,3.25,Packaged Chocolate,Drinking Chocolate,Peppermint Bark
640,2023-03-09,12:15:27,1,8,Astoria,4,4.25,Coffee,Barista Espresso,Cappuccino Lg
2154,2023-05-26,13:32:03,3,5,,20,2.75,Packaged Chocolate,Drinking Chocolate,Peppermint Bark
5019,2023-05-10,07:32:16,2,3,Lower Manhattan,1,2.75,Coffee,Gourmet brewed coffee,Ethiopia Rg
2407,2023-04-14,10:00:45,1,8,Astoria,16,9.2,Loose Tea,Herbal tea,Peppermint
572,2023-04-23,10:37:24,1,5,Hell's Kitchen,11,3.5,Bakery,Pastry,Croissant
9636,2023-04-07,19:59:57,2,3,Lower Manhattan,2,3.5,Coffee,Gourmet brewed coffee,Brazilian Lg
8721,2023-04-22,15:51:16,1,5,Hell's Kitchen,11,3.5,Bakery,Pastry,Croissant
9282,2023-01-07,09:03:08,1,3,Lower Manhattan,19,14.75,Coffee beans,Organic Beans,Ethiopia Rg
8247,2023-02-27,15:22:07,1,3,Lower Manhattan,11,4.0,Bakery,Pastry,Croissant
8190,2023-03-08,11:01:46,2,5,Hell's Kitchen,5,3.0,Coffee,Premium brewed coffee,Columbian Medium Roast Rg
1422,2023-04-25,13:59:33,1,8,Astoria,7,3.0,Tea,Brewed herbal tea,Chamomile Rg
2334,2023-05-12,14:21:16,2,3,Lower Manhattan,17,9.2,Loose Tea,Black tea,English Breakfast
6388,2023-06-04,16:23:47,1,3,Lower Manhattan,11,3.75,Bakery,Pastry,Croissant
2702,2023-03-03,20:06:49,1,5,Hell's Kitchen,20,2.75,Packaged Chocolate,Drinking Chocolate,Peppermint Bark
5068,2023-04-13,09:20:50,1,8,Astoria,11,3.75,Bakery,Pastry,Croissant
8888,2023-01-04,14:13:16,2,3,Lower Manhattan,3,3.75,Coffee,Barista Espresso,Latte Rg
12,2023-02-14,07:06:08,1,8,Astoria,12,3.75,Bakery,Scone,Ginger Scone
9404,2023-06-21,07:09:40,1,3,Lower Manhattan,10,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg
9310,2023-01-11,07:21:29,1,8,Astoria,17,8.95,Loose Tea,Black tea,English Breakfast
3363,2023-04-02,18:50:14,1,3,Lower Manhattan,17,8.95,Loose Tea,Black tea,English Breakfast
7033,2023-03-12,14:01:15,1,8,Astoria,11,3.75,Bakery,Pastry,Croissant
4480,2023-03-06,07:44:18,1,3,Lower Manhattan,1,3.25,Coffee,Gourmet brewed coffee,Ethiopia Rg
2929,2023-06-03,20:37:58,1,5,Hell's Kitchen,8,3.0,Tea,Brewed Black tea,Earl Grey Rg
9109,2023-06-14,07:58:06,1,3,Lower Manhattan,20,3.25,Packaged Chocolate,Drinking Chocolate,Peppermint Bark
9817,2023-01-08,07:20:50,2,5,Hell's Kitchen,1,3.0,Coffee,Gourmet brewed coffee,Ethiopia Rg
7242,2023-02-09,07:21:16,1,3,Lower Manhattan,13,2.25,Bakery,Biscotti,Chocolate Biscotti
4963,2023-02-28,14:46:52,1,5,Hell's Kitchen,4,,Coffee,Barista Espresso,Cappuccino Lg
379,2023-06-26,10:37:48,2,3,Lower Manhattan,8,2.75,Tea,Brewed Black tea,Earl Grey Rg
1280,2023-03-21,12:07:12,1,3,Lower Manhattan,7,2.5,Tea,Brewed herbal tea,Chamomile Rg
7546,2023-03-27,17:03:42,2,5,Hell's Kitchen,7,3.0,Tea,Brewed herbal tea,Chamomile Rg
6396,2023-06-14,09:11:04,1,8,Astoria,11,3.75,Bakery,Pastry,Croissant
9698,2023-01-16,09:19:47,1,5,Hell's Kitchen,4,4.75,Coffee,Barista Espresso,Cappuccino Lg
3369,2023-01-19,11:41:51,1,3,Lower Manhattan,17,8.95,Loose Tea,Black tea,English Breakfast
749,2023-06-11,08:39:54,1,3,Lower Manhattan,13,2.5,Bakery,Biscotti,Chocolate Biscotti
1901,2023-06-16,12:54:01,2,8,Astoria,19,14.5,Coffee beans,Organic Beans,Ethiopia Rg
7562,2023-05-19,11:02:14,1,5,Hell's Kitchen,13,2.75,Bakery,Biscotti,Chocolate Biscotti
3183,2023-03-24,08:43:33,2,5,Hell's Kitchen,16,8.95,Loose Tea,Herbal tea,Peppermint
7196,2023-04-17,17:34:17,1,5,Hell's Kitchen,2,3.5,Coffee,Gourmet brewed coffee,Brazilian Lg
3215,2023-05-07,10:27:17,1,3,Lower Manhattan,21,9.2,Branded,Housewares,Ceramic Mug
8775,2023-04-19,12:40:58,2,3,Lower Manhattan,19,14.75,Coffee beans,Organic Beans,Ethiopia Rg
6702,2023-06-24,15:04:48,1,3,Lower Manhattan,7,2.5,Tea,Brewed herbal tea,Chamomile Rg
6571,2023-05-06,09:03:25,1,5,Hell's Kitchen,1,2.75,Coffee,Gourmet brewed coffee,Ethiopia Rg
5994,2023-03-09,07:44:36,1,3,Lower Manhattan,20,3.0,Packaged Chocolate,Drinking Chocolate,Peppermint Bark
9951,2023-01-11,10:05:42,1,3,Lower Manhattan,5,3.25,Coffee,Premium brewed coffee,Columbian Medium Roast Rg
8130,2023-06-09,13:37:25,1,5,Hell's Kitchen,5,3.5,Coffee,Premium brewed coffee,Columbian Medium Roast Rg
6215,2023-03-20,10:49:46,1,3,Lower Manhattan,7,2.75,Tea,Brewed herbal tea,Chamomile Rg
8343,2023-05-15,08:05:05,1,5,Hell's Kitchen,17,8.95,Loose Tea,Black tea,English Breakfast
271,2023-05-20,20:02:15,1,3,Lower Manhattan,19,15.0,Coffee beans,Organic Beans,Ethiopia Rg
164,2023-02-09,14:24:42,2,5,Hell's Kitchen,7,2.75,Tea,Brewed herbal tea,Chamomile Rg
1196,2023-06-16,17:25:00,1,8,Astoria,1,3.0,Coffee,Gourmet brewed coffee,Ethiopia Rg
4989,2023-05-02,07:17:57,1,3,Lower Manhattan,15,1.05,Flavours,Sugar free syrup,Sugar Free Vanilla syrup
2456,2023-01-10,14:43:15,1,5,Hell's Kitchen,7,2.75,Tea,Brewed herbal tea,Chamomile Rg
8660,2023-01-20,08:09:08,1,3,Lower Manhattan,1,3.25,Coffee,Gourmet brewed coffee,Ethiopia Rg
4950,2023-02-09,09:57:02,1,3,,11,3.75,Bakery,Pastry,Croissant
9889,2023-04-18,19:42:32,1,3,Lower Manhattan,2,3.5,Coffee,Gourmet brewed coffee,Brazilian Lg
404,2023-02-18,11:44:21,1,3,Lower Manhattan,19,14.75,Coffee beans,Organic Beans,Ethiopia Rg
8600,2023-03-20,11:59:59,1,3,Lower Manhattan,18,15.0,Coffee beans,House blend Beans,Espresso Roast whole bean
6213,2023-04-14,06:32:48,1,8,Astoria,17,8.7,Loose Tea,Black tea,English Breakfast
9130,2023-06-16,12:05:11,1,5,Hell's Kitchen,15,0.55,Flavours,Sugar free syrup,Sugar Free Vanilla syrup
